Tickers,Name,GICS Sector,HQ Location
APC,Anadarko Petroleum Corp,Oil & Gas Exploration & Production,"The Woodlands, Texas"
APA,Apache Corporation,Oil & Gas Exploration & Production,"Houston, Texas"
BHI,Baker Hughes Inc,Oil & Gas Equipment & Services,"Houston, Texas"
COG,Cabot Oil & Gas,Oil & Gas Exploration & Production,"Houston, Texas"
CHK,Chesapeake Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma"
CVX,Chevron Corp.,Integrated Oil & Gas,"San Ramon, California"
XEC,Cimarex Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
CPGX,Columbia Pipeline Group Inc,Oil & Gas Storage & Transportation,"Houston, Texas"
CXO,Concho Resources,Oil & Gas Exploration & Production,"Midland, Texas"
COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas"
DVN,Devon Energy Corp.,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DO,Diamond Offshore Drilling,Oil & Gas Drilling,"Houston, Texas"
EOG,EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas"
EQT,EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
XOM,Exxon Mobil Corp.,Integrated Oil & Gas,"Irving, Texas"
FTI,FMC Technologies Inc.,Oil & Gas Equipment & Services,"Houston, Texas"
HAL,Halliburton Co.,Oil & Gas Equipment & Services,"Houston, Texas"
HP,Helmerich & Payne,Oil & Gas Drilling,"Tulsa, Oklahoma[5]"
HES,Hess Corporation,Integrated Oil & Gas,"New York, New York"
KMI,Kinder Morgan,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
MRO,Marathon Oil Corp.,Oil & Gas Exploration & Production,"Houston, Texas"
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio"
MUR,Murphy Oil,Integrated Oil & Gas,"El Dorado, Arkansas"
NOV,National Oilwell Varco Inc.,Oil & Gas Equipment & Services,"Houston, Texas"
NFX,Newfield Exploration Co,Oil & Gas Exploration & Production,"Houston, Texas"
NBL,Noble Energy Inc,Oil & Gas Exploration & Production,"Houston, Texas"
OXY,Occidental Petroleum,Oil & Gas Exploration & Production,"Los Angeles, California"
OKE,ONEOK,Oil & Gas Exploration & Production,"Tulsa, Oklahoma"
PSX,Phillips 66,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
PXD,Pioneer Natural Resources,Oil & Gas Exploration & Production,"Irving, Texas"
RRC,Range Resources Corp.,Oil & Gas Exploration & Production,"Fort Worth, Texas"
SLB,Schlumberger Ltd.,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
SWN,Southwestern Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]"
SE,Spectra Energy Corp.,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
TSO,Tesoro Petroleum Co.,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas"
RIG,Transocean,Oil & Gas Drilling,"Vernier, Switzerland"
VLO,Valero Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas"
WMB,Williams Cos.,Oil & Gas Exploration & Production,"Tulsa, Oklahoma"
